交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
25304220130,一般国道４２２号,信楽上野線,多羅尾神山線,25209,0,1.2,甲賀市信楽町神山,3568,甲賀市信楽町神山,3253,6821,1.27,0.57,41.8,47.3,8,50
25304220140,一般国道４２２号,多羅尾神山線,伊賀信楽線,25209,0,0.7,甲賀市信楽町神山,3568,甲賀市信楽町神山,3253,6821,1.27,0.57,54.1,55.1,8,50
25304220150,一般国道４２２号,伊賀信楽線,一般国道４２２号,25209,0,4.1,甲賀市信楽町神山,2227,甲賀市信楽町神山,2222,4449,1.3,0.47,58.5,59.5,7,50
25304220050,一般国道４２２号,一般国道４２２号,大津南郷宇治線,25201,0,2.3,大津市南郷五丁目,6363,大津市南郷五丁目,5857,12220,1.28,1.03,39.5,41.6,7,40
25304220060,一般国道４２２号,大津南郷宇治線,宇治田原大石東線,25201,0,0.1,,1562,,1447,3009,1.28,1.69,10.9,20,5.3,60
25304220070,一般国道４２２号,宇治田原大石東線,瀬田大石東線,25201,0,0.9,,1562,,1447,3009,1.28,1.69,30.6,32.9,5.3,60
25304220075,一般国道４２２号,瀬田大石東線,一般国道４２２号,25201,0,0.2,,1562,,1447,3009,1.28,1.69,29.5,20.8,5.3,60
25304770010,一般国道４７７号,一般国道４７７号,大河原北土山線,25209,0,12.4,甲賀市土山町大河原,244,甲賀市土山町大河原,317,561,1.32,0.07,34.4,40.9,8.5,40
25304770020,一般国道４７７号,大河原北土山線,甲賀市・日野町境,25209,0,2.1,,1361,,1345,2706,1.27,0.25,41.7,38.3,8.5,50
25304770030,一般国道４７７号,甲賀市・日野町境,西明寺水口線,25383,0,5.8,蒲生郡日野町西大路,1577,蒲生郡日野町西大路,1697,3274,1.28,0.37,46.8,46.9,11.2,50
25304770040,一般国道４７７号,西明寺水口線,土山蒲生近江八幡線,25383,0,4.2,蒲生郡日野町西大路,1577,蒲生郡日野町西大路,1697,3274,1.28,0.37,47.1,47.5,11.2,50
25304770050,一般国道４７７号,土山蒲生近江八幡線,中里山上日野線,25383,0,0.4,蒲生郡日野町西大路,1577,蒲生郡日野町西大路,1697,3274,1.28,0.37,24.3,25.8,11.2,50
25304770060,一般国道４７７号,中里山上日野線,一般国道３０７号,25383,0,0.8,蒲生郡日野町西大路,1577,蒲生郡日野町西大路,1697,3274,1.28,0.37,22.8,20.8,11.2,50
25304770070,一般国道４７７号,一般国道３０７号,町道三十坪石原線,25383,0,2.3,蒲生郡日野町内池,4587,蒲生郡日野町内池,4857,9444,1.28,0.81,24.6,34.1,16.1,40
25601780060,一般国道４７７号,町道三十坪石原線,泉日野線,25383,0,0.4,,679,,735,1414,1.19,0.21,26.4,23.8,9,50
25304770460,一般国道４７７号（必佐バイパス）,泉日野線,（元）増田水口線,25383,0,1.2,,4604,,4858,9462,1.28,0.75,35.6,49,10.8,50
25304770470,一般国道４７７号,（元）増田水口線,日野町・東近江市境,25383,0,0.4,,4604,,4858,9462,1.28,0.75,38.1,27.2,10.8,50
25304770480,一般国道４７７号,日野町・東近江市境,,25213,0,1.1,,,,,,,,44.8,46.3,10.8,50
25304770450,一般国道４７７号,,土山蒲生近江八幡線,25213,0,0.2,,4604,,4858,9462,1.28,0.75,58.5,61.3,10.8,50
25304770130,一般国道４７７号,土山蒲生近江八幡線,桜川西竜王線,25213,0,4.1,,4604,,4858,9462,1.28,0.82,39.2,43.2,9.6,60
25304770140,一般国道４７７号,桜川西竜王線,東近江市・竜王町境,25213,0,1.4,,4604,,4858,9462,1.28,0.82,29.9,27.4,9.6,60
25304770150,一般国道４７７号,東近江市・竜王町境,水口竜王線,25384,0,0,,4604,,4858,9462,1.28,0.81,29,15.5,10.35,60
