交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
37400020040,津田川島線,田面富田西線,さぬき市・東かがわ市境,37206,0,2.8,,270,,240,510,1.3,0.07,44.6,39.7,7.6,40
37400020050,津田川島線,さぬき市・東かがわ市境,一般国道３７７号,37207,0,2.3,,270,,240,510,1.3,0.07,46.7,40.5,7.6,40
37400020070,津田川島線,一般国道３７７号,津田川島線,37207,0,0.4,東かがわ市五名1542-3,537,東かがわ市五名1542-3,584,1121,2.06,0.12,55.7,52,10.1,40
37400030010,志度山川線,一般国道１１号,高松志度線,37206,0,0.4,さぬき市長尾西321-1地先,5005,さぬき市長尾西321-1地先,4754,9759,1.24,0.78,6.1,15.6,9.8,50
37400030020,志度山川線,高松志度線,三木津田線,37206,0,3.8,さぬき市長尾西321-1地先,5005,さぬき市長尾西321-1地先,4754,9759,1.24,0.78,34.2,38.3,9.8,50
37400030030,志度山川線,三木津田線,三木津田線,37206,0,0.6,さぬき市長尾西321-1地先,5005,さぬき市長尾西321-1地先,4754,9759,1.24,0.78,31.4,31,9.8,50
37400030040,志度山川線,三木津田線,高松長尾大内線,37206,0,1.9,さぬき市長尾西321-1地先,5005,さぬき市長尾西321-1地先,4754,9759,1.24,0.85,28.2,28.4,9.8,50
37400030050,志度山川線,高松長尾大内線,三木寒川線,37206,0,1.2,,3228,,3270,6498,1.23,0.59,35.6,29.9,9.8,50
37400030060,志度山川線,三木寒川線,三木寒川線,37206,0,0.3,,3228,,3270,6498,1.23,0.54,19.8,23.3,8.5,50
37400030070,志度山川線,三木寒川線,一般国道３７７号,37206,0,9.5,,2444,,2318,4762,1.24,0.59,43.4,46,9,50
37400030090,志度山川線,一般国道３７７号,多和脇線,37206,0,1.8,,304,,286,590,1.29,0.14,35.2,33.6,8.2,60
37400030100,志度山川線,多和脇線,志度山川線,37206,0,0.3,,304,,286,590,1.29,0.14,15.7,14.8,8.2,60
37400040010,丸亀三好線,一般国道１１号,善通寺府中線,37202,0,1.6,善通寺市与北町978-1,4574,善通寺市与北町978-1,4565,9139,1.23,0.82,17.4,24.5,10,50
37400040020,丸亀三好線,善通寺府中線,丸亀市・善通寺市境,37202,0,1.8,善通寺市与北町978-1,4574,善通寺市与北町978-1,4565,9139,1.23,0.82,22.6,29.5,10,50
37400040030,丸亀三好線,丸亀市・善通寺市境,善通寺綾歌線,37204,0,0.5,善通寺市与北町978-1,4574,善通寺市与北町978-1,4565,9139,1.23,0.76,34,31.1,10.2,50
37400040040,丸亀三好線,善通寺綾歌線,炭所西善通寺線,37204,0,1.4,,5332,,4887,10219,1.24,0.82,43.1,46.6,10.5,50
37400040050,丸亀三好線,炭所西善通寺線,善通寺市・まんのう町境,37204,0,0,,5332,,4887,10219,1.24,0.82,49.1,46.6,10.5,50
37400040060,丸亀三好線,善通寺市・まんのう町境,まんのう善通寺線,37406,0,0,,5332,,4887,10219,1.24,1.06,49.1,46.6,5.6,50
37400040070,丸亀三好線,まんのう善通寺線,岡田善通寺線,37406,0,1,,332,,307,639,1.29,0.44,44.4,40.3,4.1,50
37400040080,丸亀三好線,岡田善通寺線,まんのう町・琴平町境,37406,0,0.5,,332,,307,639,1.29,0.44,31.5,33.1,4.1,50
37400040090,丸亀三好線,まんのう町・琴平町境,琴平町・まんのう町境,37403,0,0.1,,332,,307,639,1.29,0.04,41.5,38.2,7.5,50
37400040100,丸亀三好線,琴平町・まんのう町境,まんのう町・琴平町境,37406,0,0.8,,332,,307,639,1.29,0.2,22.5,41.4,5,50
37400040110,丸亀三好線,まんのう町・琴平町境,高松琴平線,37403,0,1.7,,332,,307,639,1.29,0.05,24.8,21,5.7,50
37400040120,丸亀三好線,高松琴平線,炭所東琴平線,37403,0,0.7,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,1.66,29.4,30.7,3.7,50
37400040130,丸亀三好線,炭所東琴平線,丸亀三好線,37403,0,0.1,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,1.66,34.9,28.6,3.7,50
37400040140,丸亀三好線,丸亀三好線,琴平町・まんのう町境,37403,0,0,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,1.66,31.4,27.5,3.7,50
37400040150,丸亀三好線,琴平町・まんのう町境,財田まんのう線,37406,0,3.2,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,0.1,43.8,41.6,7.1,50
37400040160,丸亀三好線,財田まんのう線,塩入（停）線,37406,0,0.8,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,0.04,31.1,36.7,4.5,60
37400040170,丸亀三好線,塩入（停）線,春日讃岐財田（停）線,37406,0,2,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,0.04,42.7,44.8,4.5,60
37400040180,丸亀三好線,春日讃岐財田（停）線,丸亀三好線,37406,0,11,仲多度郡まんのう町七箇2000-6地先,789,仲多度郡まんのう町七箇2000-6地先,726,1515,1.24,0.04,31.9,32.5,4.5,60
37601900070,丸亀三好線,炭所東琴平線,一般国道３２号,37406,0,0.3,,2796,,2846,5642,1.23,0.5,17.9,21.1,7.2,40
37601900080,丸亀三好線,一般国道３２号,まんのう町・琴平町境,37406,0,0.3,,2796,,2846,5642,1.23,0.5,16.2,26.6,7.2,40
37601900090,丸亀三好線,まんのう町・琴平町境,丸亀三好線,37403,0,0,,2796,,2846,5642,1.23,0.62,31.3,18.3,6.5,40
37400050010,観音寺池田線,丸亀詫間豊浜線,観音寺善通寺線,37205,0,1.4,,2429,,2085,4514,1.24,0.43,30.9,30.3,16,40
37400050020,観音寺池田線,観音寺善通寺線,一般国道１１号,37205,0,2.9,観音寺市本大町1044-1地先,4270,観音寺市本大町1044-1地先,3702,7972,1.23,0.76,31.7,29.9,8.7,40
37400050030,観音寺池田線,一般国道１１号,善通寺大野原線,37205,0,1.7,観音寺市本大町1044-1地先,4270,観音寺市本大町1044-1地先,3702,7972,1.23,0.67,30.4,38.2,7.9,40
37400050040,観音寺池田線,善通寺大野原線,観音寺市・三豊市境,37205,0,0.1,観音寺市本大町1044-1地先,4270,観音寺市本大町1044-1地先,3702,7972,1.23,0.63,17,23,8.2,40
