交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
46400550090,栗野加治木線,紫尾田牧園線,今別府牧園線,46218,0,5,霧島市横川町床波,5336,霧島市横川町床波,5255,10591,1.25,1.08,50.3,50.4,11,50
46400550100,栗野加治木線,今別府牧園線,一般国道５０４号,46218,0,0.3,霧島市横川町床波,5336,霧島市横川町床波,5255,10591,1.25,1.08,26.6,15.6,11,50
46400550115,栗野加治木線,伊集院蒲生溝辺線,伊集院蒲生溝辺線,46218,0,3.4,霧島市溝辺町下有川,3972,霧島市溝辺町下有川,4045,8017,1.24,1.07,30.8,17.7,9,50
46400550120,栗野加治木線,伊集院蒲生溝辺線,霧島市・姶良市境,46218,0,1.6,霧島市溝辺町下有川,3972,霧島市溝辺町下有川,4045,8017,1.24,1.07,54.2,54.1,9,50
46400550130,栗野加治木線,霧島市・姶良市境,隼人加治木線,46225,0,5.7,霧島市溝辺町下有川,3972,霧島市溝辺町下有川,4045,8017,1.24,1.12,45.8,50.7,12.5,50
46400550140,栗野加治木線,隼人加治木線,九州縦貫自動車道鹿児島線,46225,0,1.6,霧島市溝辺町下有川,3972,霧島市溝辺町下有川,4045,8017,1.24,1.12,38.3,23.4,12.5,50
46400550150,栗野加治木線,九州縦貫自動車道鹿児島線,加治木停車場線,46225,0,0.8,霧島市溝辺町下有川,3972,霧島市溝辺町下有川,4045,8017,1.24,1.12,15.6,18.6,12.5,50
46400550160,栗野加治木線,加治木停車場線,一般国道１０号,46225,0,0.4,霧島市溝辺町下有川,3972,霧島市溝辺町下有川,4045,8017,1.24,1.12,18.5,11.1,12.5,50
46400560010,隼人加治木線,一般国道２２３号,隼人溝辺線,46218,0,1.3,霧島市隼人町大朋,1629,霧島市隼人町大朋,1646,3275,1.21,0.4,46.6,46.3,8,50
46400560015,隼人加治木線,隼人溝辺線,伊集院蒲生溝辺線,46218,0,2.5,霧島市隼人町大朋,1629,霧島市隼人町大朋,1646,3275,1.21,0.4,49.5,47.7,8,50
46400560020,隼人加治木線,伊集院蒲生溝辺線,一般国道５０４号,46218,0,0.1,霧島市隼人町大朋,1629,霧島市隼人町大朋,1646,3275,1.21,0.4,50,14.9,8,50
46400560040,隼人加治木線,一般国道５０４号,崎森隼人線,46218,0,2.5,霧島市溝辺町論地,2707,霧島市溝辺町論地,2683,5390,1.23,0.58,33.6,40.1,10.5,50
46400560050,隼人加治木線,崎森隼人線,霧島市・姶良市境,46218,0,0.5,霧島市溝辺町論地,2707,霧島市溝辺町論地,2683,5390,1.23,0.58,33.5,43.7,10.5,50
