交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
22400800030,熱海大仁線,田原野函南停車場線,伊東大仁線,22225,0,1.7,熱海市下多賀1522-81,795,熱海市下多賀1522,739,1534,1.18,0.19,44.6,41.4,6.5,30
22400800040,熱海大仁線,伊東大仁線,伊豆の国市・伊豆市境,22225,0,1,伊豆市大野字竹ノ坂777-2,657,伊豆市大野字竹ノ坂777-2,589,1246,1.17,0.62,28.8,31.2,5,40
22400800050,熱海大仁線,伊豆の国市・伊豆市境,伊豆市・伊豆の国市境,22222,0,8.6,伊豆市大野字竹ノ坂777-2,657,伊豆市大野字竹ノ坂777-2,589,1246,1.17,0.11,36,35.1,8,40
22400800060,熱海大仁線,伊豆市・伊豆の国市境,大仁停車場線,22225,0,0.3,伊豆市大野字竹ノ坂777-2,657,伊豆市大野字竹ノ坂777-2,589,1246,1.17,0.12,17.5,11.4,10.8,40
22400800070,熱海大仁線,大仁停車場線,伊豆の国市・伊豆市境,22225,0,0.2,伊豆市大野字竹ノ坂777-2,657,伊豆市大野字竹ノ坂777-2,589,1246,1.17,0.12,21.3,19.1,10.8,40
22400800080,熱海大仁線,伊豆の国市・伊豆市境,一般国道１３６号,22222,0,0.1,伊豆市大野字竹ノ坂777-2,657,伊豆市大野字竹ノ坂777-2,589,1246,1.17,0.15,29.9,5.8,11.45,40
22400810010,焼津森線,焼津藤枝線,焼津藤枝線,22212,0,0.6,焼津市駅北3丁目38,6455,焼津市駅北3丁目38,6580,13035,1.29,0.61,19.9,22.8,25,50
22400810020,焼津森線,焼津藤枝線,一般国道１５０号,22212,0,0.7,焼津市駅北3丁目38,6455,焼津市駅北3丁目38,6580,13035,1.29,0.61,24.8,19.2,25,50
22400810030,焼津森線,一般国道１５０号,東名高速道路,22212,0,0.8,焼津市八楠766-3,11709,焼津市八楠766-3,12073,23782,1.38,1.03,15,20.4,25,50
22400810040,焼津森線,東名高速道路,焼津市・藤枝市境,22212,0,0.8,藤枝市下当間645 ,10105,藤枝市下当間645 ,10167,20272,1.34,0.81,16.5,18.7,25,50
22400810050,焼津森線,焼津市・藤枝市境,島田岡部線,22214,0,2.2,藤枝市下当間645 ,10105,藤枝市下当間645 ,10167,20272,1.34,1.54,20.8,22.7,10,40
22400810060,焼津森線,島田岡部線,一般国道１号,22214,0,1,藤枝市岡部町内谷924-2 ,4684,藤枝市岡部町内谷924-2 ,4669,9353,1.26,0.75,21.3,14.6,6.2,30
